anchor,positive,negative
35620,51626,227803
215079,54401,60042
215194,209942,53319
224760,50061,216293
57724,214737,1126
117142,67781,227114
7994,227036,23519
11113,9263,216390
55666,35454,205476
181753,39831,15358
139544,60170,158380
35594,150791,166358
223928,144257,1199
60073,205484,14466
9916,3743,48973
219463,162932,20757
216397,35561,72667
36745,226544,154217
42343,6297,205495
46876,55134,180941
174819,7932,103363
205691,36744,2433
231926,209860,183980
142958,227352,52469
221909,214661,56626
64170,140007,59830
55068,10423,35622
150600,48963,36345
151440,172733,16689
57964,200643,28245
30634,227091,1619
204783,39987,9367
92182,126609,209923
150492,59511,50553
68690,10856,227208
215048,224615,11653
106645,35931,213881
121934,9886,136034
51656,1051,115478
55732,214587,21219
9893,39539,214389
163983,227819,209852
213238,6325,33356
57092,161037,59308
35617,33357,16613
149090,214936,19509
210010,224789,61184
175146,175174,23470
2572,153612,63797
142288,213875,144065
171438,223935,170920
214474,68729,133940
209306,7924,59221
168480,55031,68616
39635,122646,50742
214629,216340,15027
125441,227337,61513
223959,215295,44228
2840,137195,78170
175193,134825,232126
34187,111728,25222
172766,225361,57580
197796,231357,44053
134808,9289,69718
175198,42157,152538
35804,55055,65061
223060,10066,92988
168366,41734,205677
60051,60297,174326
198309,60291,118801
147952,35576,52885
11111,11545,46708
34299,158225,10393
9306,116236,18567
35662,175810,44998
9372,55793,201360
39750,109888,33823
168311,161237,57310
60670,54444,56245
747,35573,48903
214446,2741,228145
125531,10026,122577
223427,225370,42690
213877,3295,176834
152760,215101,208545
227395,65084,227641
159735,169262,48106
194739,74061,20848
168343,65225,41943
174028,227741,29457
211358,10711,8202
223803,225397,92740
163247,217113,45030
207001,218198,1243
60184,168439,205464
218158,60285,205424
157351,137162,212372
57569,33772,37631
43241,221234,215295
35657,200635,9435
172706,7397,46117
215320,10778,59982
7936,9358,41521
225239,121199,136333
158303,151951,47044
60217,9264,54043
35447,208636,45091
228352,213770,52057
73847,208622,58319
214631,55010,208702
175159,168484,62429
60304,62289,569
55468,226419,71697
225400,57944,505
9292,157404,65504
35755,209977,225363
174586,60128,58984
227044,227928,59496
54377,8128,55161
197604,208698,181123
54043,30651,205708
215275,168321,1535
10776,39745,160860
59987,168396,223609
10335,142953,26034
134839,206960,101678
171130,181621,206111
9382,55065,225534
11889,61681,171812
210759,116642,206635
168437,34619,95422
64747,175363,6662
44131,9450,171596
215292,209884,39760
216387,228455,25025
153892,215258,41850
49557,39745,223046
168397,219569,10570
206151,169279,98044
174911,127362,193870
55135,155483,165725
227737,216388,38775
229170,168439,49875
172724,215236,196159
48309,2882,179511
174818,60187,42409
57310,40275,32755
172697,214470,45388
125454,181179,150850
125712,6318,61075
55464,221246,125429
34396,231360,126568
215069,7750,63659
215364,40260,1152
68655,217113,139275
35582,2929,1672
35873,39751,146594
34622,10496,33363
55792,232000,29090
209978,60775,35652
6322,206980,176484
42734,205474,215931
9363,52490,227820
229120,69168,173175
215303,147318,172764
867,200639,166778
223994,48369,122270
168367,226851,76730
132311,35559,18858
182324,60773,28646
42980,227407,223647
65170,42119,19943
229447,69137,217945
43064,227161,219344
165232,227388,215362
215049,94957,85468
227055,209874,227804
43054,227090,35672
168320,9934,138869
170492,183705,126506
214650,220382,205533
151534,47920,12099
57331,140325,37525
40260,214380,115467
9461,48295,214358
9286,208698,110313
168374,9401,207956
60245,10335,98
215208,116236,65474
215112,35945,1818
48478,35266,95008
4183,213129,168262
169271,143968,58089
209836,39745,227810
157056,227138,52231
203997,35516,193826
173646,43241,79158
172662,120008,17605
46872,227525,28782
224169,219567,21321
214149,231922,35514
39807,45650,224939
227149,205513,10611
223048,43426,222396
217972,211392,48442
117661,47603,8218
48643,147057,13471
183669,168250,138855
214762,55665,46014
47652,168424,45244
208576,209876,67407
35153,157269,162971
48282,9443,47028
223661,227022,46950
34624,208648,74090
205503,184272,65210
43260,35755,67416
36762,40075,34327
215170,228396,10840
197354,196121,36288
157238,9428,85528
215300,209990,98594
228988,228763,55493
209872,221180,159414
227238,36846,143882
215035,159424,50331
214601,58319,22884
176807,216316,111458
33926,55099,60057
175187,204011,65680
219483,9886,50569
227826,224852,138545
131837,229461,148467
227069,214598,55672
206927,215251,223737
35128,205456,206971
168348,11337,62974
9290,228975,227727
168340,228408,214731
205511,226331,68621
191394,175369,45417
7942,151105,229654
219079,197785,66438
92882,57498,134134
144626,868,28575
227349,67718,545
205472,121162,159440
105319,33360,93739
147800,60190,195680
55276,206963,205066
6552,227308,145234
168469,210061,213337
205714,60027,44790
33926,183590,136741
222707,36704,39086
175261,35437,65561
162968,152798,136101
225331,169833,45483
122807,214984,1300
215317,225250,20174
169938,55055,213691
215290,214747,229641
222459,228978,174610
225306,226564,35543
55676,50063,228064
175210,129603,14395
228374,205762,145373
223058,50050,213571
216282,222919,108704
172719,33943,151123
135466,208556,54551
225326,175182,46057
60229,55690,135219
34274,51395,88
56327,51151,165710
226656,10581,226745
168488,205370,45845
155508,223062,1659
57222,35787,227730
208690,36494,176498
206137,231772,46222
219291,123596,210018
214753,157350,58169
55139,172764,200800
168406,225654,46681
6018,198057,59568
10477,131774,44521
49513,6335,191388
175157,55852,215195
172792,39255,23799
35656,227151,32688
168427,153943,4085
214147,10621,46582
180975,146565,121177
36992,34853,211715
152653,157384,20617
205530,10611,91275
224209,209885,55660
51859,57495,66685
168356,35797,46999
35440,206923,51859
209938,229654,165747
3500,225354,16524
123395,10779,227722
215282,170415,35642
42343,169104,403
163079,226416,81566
210182,168290,69970
55109,221249,61359
125453,163068,206440
168433,69137,160713
35427,10554,206225
229156,229465,19974
212319,205489,25025
43031,134839,105404
168397,32735,84580
206974,164050,88404
228421,35971,141984
168351,214576,25995
117817,205129,216042
50746,219476,139702
136603,218198,62044
206949,227279,76571
205483,169261,46860
168282,36487,117838
64738,35758,79173
59999,9896,144255
230904,47159,214226
218515,58098,50587
170969,227820,44276
209959,174605,22338
214740,223635,214714
35913,228345,81024
208081,127654,165784
209898,215045,122169
223625,43258,43826
95007,157384,123547
223638,191400,111739
210029,6051,227087
36703,175205,30690
125436,206953,18244
214386,211390,1582
175233,7901,44715
221261,131873,60114
223973,169127,32758
223927,6659,133017
48295,205517,73867
2903,32735,154144
60299,165922,176870
163017,172723,166808
9840,215239,74417
56437,49809,51322
215046,33384,159443
225390,175148,6253
197882,52490,205498
145226,8034,44452
168419,30726,7934
147729,229827,227070
41957,10614,28990
37037,228971,83339
163045,9413,44405
214712,3288,9427
36746,10506,72060
215047,32854,88163
175227,231925,145477
227230,223663,224608
208601,205522,109395
219567,231719,165308
214664,150212,213339
224855,35786,14911
59508,55156,163865
32854,168300,147769
9247,51790,50038
148396,58099,1331
46863,32853,103313
1040,9322,89900
860,223048,231380
64976,8024,8682
3498,153944,44987
214458,63426,213796
7939,168288,227743
34304,157353,225418
10614,212244,172768
60280,122656,44228
55661,217279,180862
231924,40158,227996
42080,35671,11531
214382,117830,48177
228342,39140,150840
142201,7992,213721
39242,183181,86080
176206,43126,52173
30856,215143,142659
64760,109885,44776
100760,3537,76219
180526,205528,177400
49831,60060,228348
206425,122202,211722
59995,226898,67708
226583,145229,161692
128495,174896,168251
222929,171751,1761
205883,232206,143999
117843,204497,174963
52490,9990,8449
205116,223952,212056
65239,170992,208556
223981,55735,145346
209923,219004,140988
30655,210758,59907
9453,214712,55131
74077,229450,20981
34167,68680,75756
214362,214762,19034
39318,119624,166472
2882,8118,169086
227932,214699,10927
116245,214437,9525
205549,175199,101787
172753,176807,43860
10786,10951,49951
9405,231702,37637
123964,214993,119699
218127,205120,8265
36746,169127,228322
55361,48478,172548
168402,130866,14821
5937,94957,8709
215128,163148,35954
63528,49252,205110
11431,92344,18284
215238,172896,150484
225245,143959,15673
64902,50719,1817
55132,209870,183980
169269,122224,218097
148710,55008,48030
215328,228883,54100
175118,169277,6520
73912,227424,44220
121156,60036,225081
209889,6319,178291
35602,226905,107111
168461,172809,131676
145580,224760,1605
180519,227131,28696
57893,60129,172746
223729,35943,165782
60182,142202,204772
172728,50841,62330
223309,145580,133930
215059,5972,178252
103506,175250,166608
209893,205881,227340
154427,138591,45067
183533,221212,41888
134221,47826,206987
205455,161237,227409
215373,207593,43976
223962,209889,63215
209955,111508,7986
231913,61007,228163
214386,2176,225368
214362,183435,1726
52046,225253,124074
227130,69088,214691
155478,228429,45318
225645,9430,65446
55059,55057,44006
225412,216394,164035
220580,225644,226652
197725,171442,42097
228971,213153,143788
3087,169568,16109
214209,214662,225866
227812,33366,1700
208446,162927,214386
92190,214701,143150
223040,220603,169245
9460,42874,73555
168424,215122,212013
165302,205214,61819
64813,227039,80803
171142,224788,56569
214629,148499,118006
5974,215072,44539
169338,48329,31344
227361,191393,73339
11237,227252,202760
6334,223922,179575
9833,139401,100078
8340,55793,46238
55055,42183,216394
216211,168393,208670
153823,42344,123625
46865,132700,125085
42825,212061,172775
200640,215133,95282
209856,145076,56464
223989,209851,49504
168412,168493,223956
3086,226801,18483
174326,60042,151074
86061,215093,229083
175278,60164,52230
42633,227411,86321
10784,136645,149172
171441,49569,167180
226569,160943,175391
227354,47827,65148
153889,204791,60247
4414,144264,82530
39186,206977,66241
58942,51310,165647
58099,149395,38027
227280,37537,40746
35724,154395,64668
35576,220583,64734
214435,206157,61685
227098,2582,176626
35788,50069,43975
210002,217744,225198
214734,59995,62859
227303,133659,89817
133253,154217,10840
117831,38157,198585
215032,157404,92413
168426,224415,227937
228981,171997,47071
9376,35563,65081
229141,139544,33516
215110,155501,152411
227373,147127,78713
205232,35654,1845
148016,227996,206429
123631,51312,1350
168409,227066,12561
61206,210011,25538
175206,51778,4230
129915,9503,26937
226903,174586,143886
214763,223387,74263
227810,226721,138588
8182,145234,85703
169275,6103,145595
219004,6894,52965
170999,216406,127163
35494,226707,165761
208696,215266,44114
175159,9496,66967
227225,60174,218192
215264,210187,209954
170942,131490,1691
180975,175195,69300
56451,227055,124802
223389,205111,215368
7942,163069,88567
60282,59982,76297
170496,191391,52469
227335,184835,143792
92882,163070,227835
10753,168425,223604
228392,227415,43774
174924,139500,181985
175254,174586,59924
227928,214203,6808
10220,214360,77300
223443,224418,64613
206949,229657,224943
92182,210244,84477
223437,154353,66432
7984,175264,231926
226534,10219,168437
214629,215038,43789
223139,222915,43858
175199,40074,50793
136258,64949,82063
223958,226630,9280
168279,227339,34652
206991,218124,205774
208708,35706,183330
205698,174788,227397
222068,35576,4079
5097,216406,170858
168366,210195,32921
35673,41360,7048
166364,9425,17198
59506,59495,175214
205769,182466,9588
169283,7744,18660
214497,227255,133597
36480,50050,89494
35641,8026,175194
168305,215290,139515
92193,214461,171049
48734,214622,45331
219408,151506,24567
3311,226906,140020
58747,32667,1464
172789,55494,140751
191363,213685,204042
65420,223954,178026
175615,148754,83969
6125,223309,220589
224189,55676,67460
225310,228782,43893
222820,54381,53818
154108,57666,54049
10756,217281,1364
8062,10506,223023
199829,208526,46671
10374,35634,170483
55791,197391,80721
205469,227121,147769
168285,227081,215120
45660,215280,214547
148195,127333,223666
942,170168,57116
172557,228961,68847
225373,224964,228176
205536,40074,215025
147057,214756,73611
219693,175177,28214
123732,7916,130970
18567,4110,144927
200640,162971,139731
137717,215296,66186
42837,210161,73212
43369,155520,32811
40146,209957,48755
227272,215347,230003
168392,227280,18724
34624,7385,121703
3020,43117,1667
191360,7735,11735
215254,168255,20349
172588,119620,17921
169101,225331,175179
10570,227293,55691
222458,60956,218007
171603,208699,45965
215338,43219,43796
215167,157385,74343
131837,6478,154480
129855,168453,43792
171125,232122,112568
7944,216311,227670
223051,7921,106528
175188,169789,35793
39317,228984,46005
206922,194739,57378
184661,124331,41643
181181,214676,130896
175169,157259,1683
35969,221245,121155
214652,67718,20283
231021,205708,57564
205713,227271,52354
40000,140132,67392
48320,126532,207954
55031,152657,172887
215233,170972,10485
168403,175180,56386
33661,143255,193893
10572,225232,225523
215064,153611,40064
61675,220936,61698
9838,8918,194638
217953,183980,195330
214992,175207,12145
168373,231702,211930
169265,30655,169785
204691,9398,46528
214626,229451,61351
202952,227993,226491
55032,55665,4911
9251,180746,27583
33679,9313,151286
55791,33498,69983
224494,153757,75460
215126,191402,37756
9370,210164,12129
227023,168464,25025
138785,222680,232133
225344,225644,169357
222457,231914,8153
122656,124922,53170
205883,210182,200561
9290,8202,133574
139268,227139,66241
225084,128901,227101
3081,32755,35788
129845,228968,225483
199207,169150,65745
11917,227824,229120
216273,214655,228163
140506,9379,152703
10937,195147,231676
153644,204784,157379
218070,65439,224117
161035,223939,165650
117827,225373,84714
151801,196209,5333
227066,217944,177265
214532,7888,223405
10788,168268,53579
128995,162926,10336
170957,214447,195832
175210,227139,138627
177576,221713,132989
49551,214677,163058
214405,60217,183379
214999,11420,121076
8938,151439,66452
60292,226195,42443
215075,226565,123615
125434,169273,53082
199829,48547,123758
214626,227154,178026
215375,145229,27024
35756,232089,45543
170914,214754,17235
39539,156231,76796
60233,55004,87345
168276,214450,63690
35558,214397,46499
35597,209230,1559
221714,49169,227130
10779,51592,41335
48067,60144,65912
148602,40083,1807
9322,206974,62978
65085,60210,153714
4280,227228,115445
229450,103081,214622
56374,60073,175238
205105,170960,223052
54390,4996,9375
223626,205534,71371
214668,158611,89218
214357,35582,130158
60025,64751,136108
221260,152663,24221
157360,39256,8097
168310,163031,166885
215147,55050,160854
210013,52498,33516
143994,226903,33958
169342,224933,166475
35792,215363,169099
60164,219466,1478
175116,48318,49051
148399,57968,27583
52433,217934,41328
150464,205487,224415
42158,229120,160621
227048,228782,89853
7325,35647,44010
209936,225659,214727
175469,51457,210753
160943,138899,8208
64866,194481,138816
153876,143967,227995
231373,38171,207036
35453,54849,23132
9851,60166,45105
49816,51458,206238
9322,122121,73494
225083,4622,227715
218429,60166,125705
56425,139760,25222
42298,165308,35742
172784,217124,228029
38353,133764,177377
154494,168524,215189
131768,205460,124664
171021,58759,21791
215018,204789,208576
65075,36925,150499
170274,217957,45953
214618,155517,214629
227173,60003,74545
223947,196593,34802
209963,42181,133820
121177,227417,214998
51424,224415,92413
43031,207834,172880
60075,169473,14492
215123,223973,165298
58919,223641,172742
56318,121675,53335
7942,51868,11306
179991,227086,11995
168373,9353,157763
227244,227382,146566
60061,214717,107061
10051,226801,1793
209026,181181,225484
63429,2619,29142
144949,39537,55464
37631,125453,198512
149395,206923,11141
32782,64607,65302
212054,131854,9347
139321,65028,200781
168319,42142,177848
60120,9315,35645
223921,60062,214439
227392,225869,168354
32780,168329,224939
61675,133221,163466
160942,221068,154262
161035,214633,161549
215253,33704,52972
191407,225153,52108
227380,9261,168476
8068,226530,34096
208603,135297,94912
223986,226657,19862
225361,161888,1656
213868,58919,227476
226722,35597,27226
45668,5103,219063
10571,60670,1552
214627,860,9245
122224,10574,160651
217947,41356,172779
214623,169265,214670
163013,227952,144956
9451,65420,223947
227174,148330,229868
60081,139685,18292
8973,223986,133938
175277,223877,48515
205879,10932,146584
129269,92185,223982
215278,151090,47092
150198,136630,224375
198309,227185,50326
215123,4154,42471
153615,132098,1596
125404,168451,205485
209983,168306,130891
9271,9452,43223
227214,229830,123398
172689,224509,205117
215009,175185,51840
170167,35611,69641
8266,223642,34274
49172,226566,197757
11590,227349,1449
158977,33486,205116
208700,172762,22436
208574,227826,1317
6104,154236,42921
223974,126524,5816
214489,227132,146560
122106,214529,1703
215026,214508,86345
209995,217124,64754
3536,215101,224512
7386,215217,53315
40271,52484,66448
215021,36478,227445
225085,215233,44815
7932,35842,49873
136256,35561,57105
59040,214721,17289
232085,175209,175280
55019,204494,49274
172806,9263,131118
6333,64761,60117
226554,49826,8039
225311,205776,209861
226787,57579,13533
175288,169262,175672
124852,35728,205640
226415,227203,103971
207590,8909,18677
214357,76849,177424
149090,123484,2968
39702,46315,3236
42141,57972,181557
65506,153564,165711
218148,122880,34799
11266,65376,119728
33834,9271,57493
3110,103557,221248
214937,6187,44621
168296,9886,5167
5781,8310,47246
228967,2976,36233
206485,39683,195368
227823,214578,44800
170500,30833,150078
3081,214627,76321
143700,223935,215271
205553,143653,43708
4021,65374,227156
209900,169609,119450
215019,172909,10775
227859,42108,38935
3342,59481,30217
64841,172693,156087
3734,11248,5215
215342,216401,42444
215260,123870,201095
100760,54357,162936
60053,59526,175206
170987,199722,177736
176888,208570,162981
223942,221346,74404
65086,33354,18136
216394,163052,66849
205370,154427,56634
176807,214721,226415
227439,162936,214740
209995,47831,225491
139685,50841,46061
35508,10743,223640
139622,137119,43608
208707,209871,47044
175124,34233,164407
89604,208200,214350
64928,214978,85908
39184,185015,35785
168349,168478,46999
168448,7935,129659
175184,227320,65347
9234,204024,145385
217266,215364,214660
60815,11209,119461
124319,36744,177549
55063,198141,227436
148593,168289,150556
39309,10345,217944
209948,1085,46033
40080,143863,24108
153867,215291,148092
35642,36977,132451
56331,40140,35601
214608,4414,48423
216310,207539,76048
209897,140351,1569
3814,35185,209979
153734,221356,43707
228869,128495,66615
55134,231676,45549
9355,9840,194756
52499,35719,77796
227862,214761,223934
57099,223630,151618
125731,182648,46283
125408,42095,9234
228418,223639,1473
211358,210009,222736
37153,191397,84546
168440,214378,79232
223041,168489,30776
33724,214490,178252
10744,62567,149505
220719,216327,42049
59987,220729,3992
217573,169281,9278
168260,191377,44267
214600,138899,228962
215119,226906,67488
168277,42825,125412
5937,9407,133293
35695,11282,144205
169498,135137,50474
209836,227737,54228
222458,35945,66399
223050,170496,116238
124319,208099,4841
37842,175713,60181
68820,170415,28835
214504,231356,191466
35736,227385,43438
59515,142253,126455
222705,8801,8214
43259,40127,50519
4604,35624,205749
148467,57092,55693
175548,148330,67529
119598,168250,156426
223398,214503,72266
9317,223729,51790
59318,118507,69264
168419,49132,8530
9115,60202,208665
223647,6100,69956
67778,225337,1353
227857,218131,65722
204495,214471,10029
229045,227434,206668
214503,10963,121464
214576,10026,56805
223855,59526,18919
123085,148672,15993
65080,156079,93699
215086,125691,50057
172779,218120,32423
61684,214447,229667
227301,227054,23870
11261,60205,212286
51656,45843,39568
223305,7954,212350
126609,57333,168331
38870,61684,21590
214738,124924,28192
7952,12195,93044
146955,55481,50487
47822,128997,4361
8997,214606,39476
89604,9876,35601
142257,227342,173072
206963,168389,27313
214534,8004,57530
215024,171116,46117
216329,228754,21900
153564,227952,214364
172723,221234,130843
42827,30301,41601
164407,218133,128025
214537,220578,205209
43331,65472,89948
128495,4139,60849
92610,10571,76283
227828,214391,29452
226474,227826,46688
205121,9804,17901
35509,50063,69444
224191,215324,46117
151105,223422,46995
11002,147813,231125
231556,228967,1818
163009,57436,177193
227954,215241,200496
223717,35717,131865
928,227436,30065
39755,168260,225846
225660,57600,207036
218148,57968,42100
10064,207539,231571
168279,42628,215061
168323,6669,136542
227051,165233,5786
60184,140504,154133
221354,154427,163873
215054,150500,76133
60650,229468,44783
231347,194559,75962
142134,145732,59981
215065,5971,225870
214535,40221,208095
205749,228453,4658
9839,137162,10568
39564,215125,205562
135168,35474,214706
55134,227825,223035
227365,170963,5333
214939,168379,51680
123870,212340,17646
227180,168250,74266
227948,183449,44365
58548,43260,154495
65439,205720,58093
225401,65368,170902
9288,39309,62619
208607,123631,69695
8917,204485,200650
34610,215313,17685
227063,119686,50501
7928,168472,65473
215113,7922,58806
214482,191360,224261
175378,10577,17395
213702,172903,27150
155556,172791,66410
9934,227979,217971
46865,208692,17559
1152,36860,227145
74243,168434,228090
65266,3597,143903
226831,224824,17611
227367,118130,88151
58812,200319,51048
39832,207848,104024
222091,156023,84570
223423,55157,56663
209994,207581,107610
221710,39322,16739
10933,194756,218435
60244,597,223717
224191,9414,175250
168480,214460,230003
60025,175384,226556
64963,214402,218476
5270,37488,60298
217108,35858,134220
8120,39285,68901
224211,35666,16704
168286,60775,84337
214963,7929,35836
205561,214380,215888
116241,214383,81284
64092,227027,3536
139701,175184,224144
227107,55039,228156
116679,215131,157171
205691,55681,33278
49551,143183,23470
214546,64770,209907
42151,227434,46260
223999,227134,209876
175631,60297,4472
223041,226545,210067
172394,39535,1817
69246,215155,18660
214683,224855,215346
216282,48191,9405
92690,4108,27313
60301,111252,57514
145762,38171,118669
54939,59526,163138
168429,160943,14691
162873,110077,39539
4099,55024,145580
227379,41952,21902
227344,40234,42300
227219,223886,129876
6662,232085,60106
69191,229464,227057
183415,54446,131873
9239,156147,78755
175810,40154,7163
121937,4361,214593
57098,169744,79359
221354,209927,53326
170868,42150,86848
196849,37479,54730
41360,34304,177759
59506,229343,164866
227109,2904,220823
34233,55012,84300
43038,205118,40412
210182,215299,35150
221246,214496,165792
209872,5475,226805
227275,9335,24964
52403,157056,58820
223988,34945,58906
139370,213673,153390
205530,226548,42463
172713,191388,122949
214496,228393,43906
10496,218026,228186
43335,65138,47013
35754,35638,151743
57455,57435,1725
10064,168335,10755
227477,175799,152400
55140,58992,205677
2839,9268,63663
203997,199829,225794
92882,55011,206118
224426,42080,40179
125467,215163,215861
219466,54377,104104
214598,209985,13354
197354,60260,23842
228425,9983,228093
42152,60362,72249
204000,137892,42672
221109,49169,227817
6333,8008,153599
227279,35155,51091
157098,227117,35619
210760,38468,218688
69168,11282,231650
214941,223396,39184
172690,151534,44411
5215,172785,60229
132700,206951,51402
122198,136258,15832
139321,145732,49979
54436,217287,35496
34274,42283,478
214352,10566,146778
144257,215053,1709
30725,175191,66186
206056,227310,123692
227165,168456,160856
170904,122298,228344
170927,125458,213486
57972,213873,209862
216304,55672,53310
142137,30477,177084
225321,65368,171011
35638,48579,35732
214591,184136,40162
57724,204038,231918
227370,123628,218192
39104,214668,41653
214480,159684,54753
128624,65416,52243
131321,223645,165776
184661,6669,7382
172673,60167,228087
59714,68741,4151
9236,205880,4116
227341,205426,160863
163069,60280,205426
231055,37586,87300
69231,155500,22632
175285,134218,86883
194466,35527,7916
35509,215337,45991
222443,35508,121101
9522,214623,65112
18423,60675,218923
40138,227235,4151
227858,221243,44370
175143,8676,6976
214692,215138,53346
168308,168456,220442
169340,191407,155383
10586,46473,92910
35664,223634,10190
227113,6375,51312
64783,9151,55612
213866,222458,12523
227203,226526,43738
215091,168290,78170
172900,172720,171422
208696,5937,58056
9436,145930,46756
170470,168523,1493
232168,30759,160973
172768,111469,214758
123732,6327,215145
214503,226421,35594
229476,60181,118445
65000,60158,176668
215122,209997,67918
60149,168255,36341
35854,216404,34610
140351,60264,46232
215232,9115,152669
148349,205753,77300
168322,227952,64752
215119,143834,49074
117830,35661,89964
34305,175315,55161
106147,55143,4907
57089,6668,175253
11282,215257,37108
227092,215115,46120
196080,171603,198590
100761,215025,227217
35952,214476,131107
214672,196577,55132
215244,58778,165802
60207,144976,146530
60396,154382,9028
216476,43479,172719
146955,206137,205489
4116,45704,33857
139531,36746,15747
223431,175246,46474
227269,65118,181625
214596,35665,46039
8105,227393,125256
169630,226913,34630
55793,197643,35593
215146,193791,120952
227108,194796,107103
61684,6805,22255
7952,131105,55012
136025,218165,101114
164048,125468,50845
205497,35756,75805
223928,227267,63658
125436,10832,4215
204788,217106,41725
225237,37031,52185
221714,49421,139440
216324,125476,1471
56327,215320,176545
208691,56410,215248
205500,42151,4218
227114,223961,142569
220605,227814,155476
223928,225083,66422
222921,214745,139283
224933,37842,72856
57099,218390,6172
35439,227810,44542
157354,149177,150840
168267,9348,134810
222708,226729,216390
172786,139440,175349
205698,5221,54282
169277,223930,76050
227366,228956,29445
206137,135297,19449
214516,171434,21219
35854,60227,59074
136603,35152,4806
125416,225323,3085
210066,168257,139458
63490,214190,33857
10557,175178,227406
216312,215149,10785
3448,205501,225483
134837,123398,25711
60185,223717,1599
227647,208446,64678
153799,225153,119255
65138,121171,34957
209900,39257,50431
221195,39086,228988
121053,48649,229142
209908,208628,208412
64951,50051,4853
227246,231925,1809
196850,225334,69237
55682,227231,45058
212319,65169,26087
220720,63426,154426
148221,143700,42504
153763,217957,177265
151784,218167,133958
231918,35576,58822
227736,215128,215168
231020,215091,215019
226790,214752,45103
227412,30814,9451
205117,131004,53125
137124,221180,171058
227525,10026,229508
229120,122195,222929
215357,7412,5976
45833,36489,150079
10964,154839,214969
32922,225351,67993
4089,122646,43429
8004,65114,227763
55010,39285,168700
214480,181625,9266
214360,155516,69272
53474,172752,4630
128998,232255,127163
168491,215023,194803
215340,8027,23573
131332,35493,224139
163031,224271,432
38468,67718,52897
60223,205632,59507
227154,57662,172809
176807,168417,19389
225320,170375,224115
215325,37149,205716
54378,143851,15043
60182,215302,387
208545,9355,122530
9363,214531,55146
2881,47652,156166
215131,57662,151732
225332,163010,44715
232133,227234,64978
60117,218120,122707
35619,214365,76710
60045,3606,15216
227383,180869,100762
156147,9291,37149
59156,57089,120731
209967,46873,32921
177174,148892,76070
60058,225657,85051
175363,121053,34136
172809,214729,39767
205480,48294,139590
92192,10199,50397
205212,221710,96578
145077,214377,51025
10557,217948,73246
56656,59996,41301
172690,35785,23420
223970,6479,53345
50218,214642,50272
174756,146567,76792
194476,165231,138657
194763,170904,36996
11336,30470,52265
56287,55660,25980
158097,175799,167088
3203,42908,139386
51266,168287,124319
143876,10935,56784
210760,42158,30759
209858,209999,54978
33259,148015,233967
67781,60156,76190
92610,7360,64332
208623,59503,223052
205473,64747,54743
10565,3500,65044
215107,148396,122530
54357,3597,231086
208867,49067,30213
35543,30838,1555
205512,214547,56567
168302,55668,93039
10031,48179,111594
219475,56469,165798
9911,10346,97689
65315,224771,122645
160850,218131,45318
222708,11889,35438
142201,214689,44832
73912,63426,18147
170868,9804,163917
209984,35207,182667
214755,223919,46300
65114,123595,206934
225315,214645,65439
175124,205456,166022
8034,214966,41898
172806,172742,41941
58694,146700,88278
123398,222681,225085
224428,221484,220601
60003,30814,171125
227287,210020,140325
154498,35483,60814
126579,10777,228135
106147,145732,1739
8162,7748,53152
39752,221656,177783
57965,60107,35713
34945,219352,5118
225343,137162,72869
209865,208712,44233
48322,6128,28369
164729,122279,177294
125331,10583,69800
8062,227234,217263
209507,215264,227715
218072,9525,225868
42154,169102,27654
60099,167802,43429
179582,227240,44228
200824,152655,111398
8941,208708,160926
8117,921,62935
40154,157018,165786
60168,9235,69970
133370,40080,214388
223986,58935,194583
168429,171036,122562
92617,226831,10840
122803,4089,213112
34632,2992,173423
68571,212059,128997
223443,9968,64516
142165,150792,175378
210761,204767,44820
228760,164048,227188
182466,214717,213770
9336,213734,161520
36925,169630,41703
30634,205439,212542
35720,212340,3236
214718,209305,43849
214972,60170,8311
204680,221190,21514
60297,8215,143681
111274,8117,161521
9382,229456,64854
128996,172733,7356
224169,209898,217289
212061,57937,1574
160943,210161,175143
11337,226532,158384
168458,163248,177136
200634,42567,17014
169630,60296,55611
225338,64866,9290
215198,64697,12099
145163,6061,148892
225235,54704,220492
231915,224271,21120
209883,10785,33246
59981,215108,214633
172789,126944,61215
169938,207523,227196
116237,153701,15262
118094,41783,125451
157358,49551,118678
155500,59714,60934
226416,9351,223181
208625,229152,214489
148016,183332,218250
34902,10786,50162
60211,2979,74866
171431,49175,93051
33384,131899,74194
69095,142199,92726
227398,227090,34610
55063,163010,3102
7907,168489,42734
64978,168286,47017
214716,175204,67603
208701,148015,27801
109888,204489,87372
205519,221616,93116
205556,51333,228976
224635,169744,35620
175153,227338,230003
8041,206981,44601
223659,35449,3102
208622,225301,35836
54446,35884,229470
223050,59509,44815
30759,231388,15225
125434,60396,45478
10563,48506,127975
223139,50082,148295
168358,7884,175312
42095,9236,1816
8465,146334,184950
35706,169278,155485
175179,35732,227185
214684,10064,35912
223000,227284,214464
35672,139679,118356
42143,36993,215288
51613,218188,228217
227287,227382,115476
3986,227230,46162
214446,57579,183499
214755,170505,4879
227077,145033,10222
214148,43665,5781
67770,227739,1349
223430,148754,177011
161075,56316,75777
139470,4087,215310
119886,42356,3668
224273,64739,196300
208607,231347,65561
64846,215900,179933
175151,10951,176496
9363,172740,44235
